,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
131,NHDL,                                        320.00,                                        5.00,                                        1.59,                                        315.10,                                        320.00,                                        310.20,"                                        1,992.00",                                        315.00
132,NHPC,                                        201.00,                                        -1.00,                                        -0.50,                                        200.10,                                        204.00,                                        199.30,"                                        19,323.00",                                        202.00
133,NIB,                                        219.00,                                        -3.00,                                        -1.35,                                        222.00,                                        228.00,                                        218.10,"                                        22,448.00",                                        222.00
134,NIBPO,                                        211.80,                                        -8.70,                                        -3.95,                                        216.10,                                        216.10,                                        211.80,                                        120.00,                                        220.50
135,NIBSF2,                                        7.10,                                        0.05,                                        0.71,                                        6.92,                                        7.10,                                        6.92,"                                        1,200.00",                                        7.05
136,NICA,                                        676.30,                                        -2.70,                                        -0.40,                                        679.00,                                        688.00,                                        674.00,"                                        26,409.00",                                        679.00
137,NICBF,                                        8.73,                                        0.17,                                        1.99,                                        8.73,                                        8.73,                                        8.73,                                        200.00,                                        8.56
138,NICFC,                                        7.75,                                        -0.04,                                        -0.51,                                        7.67,                                        7.82,                                        7.67,"                                        1,800.00",                                        7.79
139,NICGF,                                        9.10,                                        0.10,                                        1.11,                                        9.10,                                        9.10,                                        9.10,"                                        1,355.00",                                        9.00
140,NICL,                                        422.00,                                        0.00,                                        0.00,                                        420.00,                                        427.90,                                        415.00,"                                        3,982.00",                                        422.00
141,NICLBSL,                                        715.00,                                        2.50,                                        0.35,                                        711.00,                                        720.00,                                        710.50,"                                        1,360.00",                                        712.50
142,NICSF,                                        7.85,                                        -0.08,                                        -1.01,                                        7.93,                                        8.05,                                        7.80,"                                        67,611.00",                                        7.93
143,NIFRA,                                        184.00,                                        -0.50,                                        -0.27,                                        184.50,                                        186.00,                                        182.50,"                                        26,925.00",                                        184.50
144,NIL,                                        718.80,                                        3.80,                                        0.53,                                        715.20,                                        720.00,                                        715.20,"                                        3,032.00",                                        715.00
145,NLBBL,                                        810.00,                                        9.00,                                        1.12,                                        817.00,                                        817.00,                                        810.00,                                        817.00,                                        801.00
146,NLG,                                        475.70,                                        1.70,                                        0.36,                                        466.40,                                        475.70,                                        466.40,                                        304.00,                                        474.00
147,NLIC,                                        610.40,                                        -2.60,                                        -0.42,                                        605.10,                                        613.00,                                        605.10,"                                        11,418.00",                                        613.00
148,NLICL,                                        500.00,                                        -5.00,                                        -0.99,                                        505.00,                                        505.00,                                        496.30,"                                        7,551.00",                                        505.00
149,NMB,                                        232.00,                                        2.00,                                        0.87,                                        231.00,                                        232.50,                                        229.40,"                                        11,453.00",                                        230.00
150,NMB50,                                        9.06,                                        0.16,                                        1.80,                                        9.06,                                        9.06,                                        8.88,"                                        2,400.00",                                        8.90
151,NMBHF1,                                        9.46,                                        0.15,                                        1.61,                                        9.38,                                        9.46,                                        9.38,                                        200.00,                                        9.31
152,NMBMF,                                        655.10,                                        -9.90,                                        -1.49,                                        664.90,                                        664.90,                                        655.00,                                        409.00,                                        665.00
153,NMFBS,"                                        2,000.00",                                        0.00,                                        0.00,"                                        2,000.10","                                        2,069.00","                                        1,995.00","                                        1,571.00","                                        2,000.00"
154,NRIC,                                        699.00,                                        -0.80,                                        -0.11,                                        690.00,                                        712.00,                                        688.00,"                                        21,479.00",                                        699.80
155,NRN,                                        399.10,                                        -5.90,                                        -1.46,                                        413.10,                                        413.10,                                        395.00,"                                        4,800.00",                                        405.00
156,NSLB,                                        747.00,                                        -0.50,                                        -0.07,                                        757.90,                                        760.00,                                        745.00,                                        746.00,                                        747.50
157,NTC,                                        909.90,                                        -12.10,                                        -1.31,                                        903.60,                                        912.00,                                        874.00,"                                        67,105.00",                                        922.00
158,NUBL,                                        883.00,                                        -9.10,                                        -1.02,                                        888.00,                                        898.00,                                        882.50,"                                        1,616.00",                                        892.10
159,NYADI,                                        273.00,                                        1.10,                                        0.40,                                        267.00,                                        273.60,                                        267.00,"                                        1,265.00",                                        271.90
160,OHL,                                        489.00,                                        10.00,                                        2.09,                                        485.00,                                        491.00,                                        472.00,"                                        3,068.00",                                        479.00
161,PBD88,                                        837.30,                                        6.20,                                        0.75,                                        831.30,                                        837.30,                                        831.10,                                        125.00,                                        831.10
162,PCBL,                                        224.80,                                        -0.20,                                        -0.09,                                        226.00,                                        226.90,                                        222.50,"                                        9,302.00",                                        225.00
163,PFL,                                        331.00,                                        -3.50,                                        -1.05,                                        334.50,                                        336.00,                                        330.00,"                                        2,435.00",                                        334.50
164,PIC,                                        529.50,                                        -5.50,                                        -1.03,                                        535.00,                                        535.00,                                        510.00,"                                        3,083.00",                                        535.00
165,PICL,                                        341.60,                                        -1.70,                                        -0.50,                                        340.00,                                        346.80,                                        340.00,                                        159.00,                                        343.30
166,PMHPL,                                        193.00,                                        -1.80,                                        -0.92,                                        198.60,                                        198.60,                                        187.00,"                                        2,060.00",                                        194.80
167,PPCL,                                        284.00,                                        0.00,                                        0.00,                                        286.90,                                        288.80,                                        282.00,"                                        2,973.00",                                        284.00
168,PPL,                                        204.90,                                        2.90,                                        1.44,                                        198.20,                                        206.00,                                        198.20,"                                        3,333.00",                                        202.00
